-à	-GEN/M/OBL.SG
-itiš-m-isaan-aa	-PROG-1SG-3PL-REM
-itiš-m-isaan-ee	-PROG-1SG-3PL-PRES
-itiš-om	-COP/PROG-1SG
-itiš-om-aa	-COP/PROG-1SG-REM
-itiš-om-ee	-COP/PROG-1SG-PRES
-itiš-om-ir-aa	-PROG-1SG-2SG-REM
-itiš-om-ir-ee	-PROG-1SG-2SG-PRES
-itiš-om-iraan-aa	-PROG-1SG-2PL-REM
-itiš-om-iraan-ee	-PROG-1SG-2PL-PRES
-itiš-om-is-aa	-PROG-1SG-3SG-REM
-itiš-om-is-ee	-PROG-1SG-3SG-PRES
-itiš-om-isaan-aa	-PROG-1SG-3PL-REM
-itiš-om-isaan-ee	-PROG-1SG-3PL-PRES
-itiš-or	-COP/PROG-2SG
-itiš-or-aa	-COP/PROG-2SG-REM
-itiš-or-ee	-COP/PROG-2SG-PRES
-itiš-or-im	-PROG-2SG-1SG
-itiš-or-im-aa	-PROG-2SG-1SG-REM
-itiš-or-im-ee	-PROG-2SG-1SG-PRES
-itiš-or-imaa	-PROG-2SG-1PL
-itiš-or-imaan	-PROG-2SG-1PL
-itiš-or-imaan-aa	-PROG-2SG-1PL-REM
-itiš-or-imaan-ee	-PROG-2SG-1PL-PRES
-itiš-or-is	-PROG-2SG-3SG
-itiš-or-is-aa	-PROG-2SG-3SG-REM
-itiš-or-is-ee	-PROG-2SG-3SG-PRES
-itiš-or-isaa	-PROG-2SG-3PL
-itiš-or-isaan	-PROG-2SG-3PL
-itiš-or-isaan-aa	-PROG-2SG-3PL-REM
-itiš-or-isaan-ee	-PROG-2SG-3PL-PRES
-itiš-or-m-aa	-PROG-2SG-1SG-REM
-itiš-or-m-ee	-PROG-2SG-1SG-PRES
-itiš-or-maan-aa	-PROG-2SG-1PL-REM
-itiš-or-maan-ee	-PROG-2SG-1PL-PRES
-itiš-or-s-aa	-PROG-2SG-3SG-REM
-itiš-or-s-ee	-PROG-2SG-3SG-PRES
-itiš-or-saan-aa	-PROG-2SG-3PL-REM
-itiš-or-saan-ee	-PROG-2SG-3PL-PRES
-itiš-r-im-aa	-PROG-3SG-1SG-REM
-itiš-r-im-ee	-PROG-3SG-1SG-PRES
-itiš-r-imaan-aa	-PROG-3SG-1PL-REM
-itiš-r-imaan-ee	-PROG-3SG-1PL-PRES
-itiš-r-ir-aa	-PROG-3SG-2SG-REM
-itiš-r-ir-ee	-PROG-3SG-2SG-PRES
-itiš-r-iraan-aa	-PROG-3SG-2PL-REM
-itiš-r-iraan-ee	-PROG-3SG-2PL-PRES
-itiš-r-is-aa	-PROG-3SG-3SG-REM
-itiš-r-is-ee	-PROG-3SG-3SG-PRES
-itiš-r-isaan-aa	-PROG-3SG-3PL-REM
-itiš-r-isaan-ee	-PROG-3SG-3PL-PRES
-iš-n-aa	-COP/PROG-1PL-REM
-iš-n-ee	-COP/PROG-1PL-PRES
-iš-n-e	-COP/PROG-1PL-PRES
-iš-aa	-COP/PROG-REM
-iš-ee	-COP/PROG-PRES
-iš-im-ir-aa	-PROG-1SG-2SG-REM
-iš-im-ir-ee	-PROG-1SG-2SG-PRES
-iš-im-iraan-aa	-PROG-1SG-2PL-REM
-iš-im-iraan-ee	-PROG-1SG-2PL-PRES
-iš-im-is-aa	-PROG-1SG-3SG-REM
-iš-im-is-ee	-PROG-1SG-3SG-PRES
-iš-im-isaan-aa	-PROG-1SG-3PL-REM
-iš-im-isaan-ee	-PROG-1SG-3PL-PRES
-iš-im-r-aa	-PROG-1SG-2SG-REM
-iš-im-r-ee	-PROG-1SG-2SG-PRES
-iš-im-raan-aa	-PROG-1SG-2PL-REM
-iš-im-raan-ee	-PROG-1SG-2PL-PRES
-iš-im-s-aa	-PROG-1SG-3SG-REM
-iš-im-s-ee	-PROG-1SG-3SG-PRES
-iš-im-saan-aa	-PROG-1SG-3PL-REM
-iš-im-saan-ee	-PROG-1SG-3PL-PRES
-iš-ind	-COP/PROG-3PL
-iš-ind-aa	-COP/PROG-3PL-REM
-iš-ind-ee	-COP/PROG-3PL-PRES
-iš-ind-im-aa	-PROG-3PL-1SG-REM
-iš-ind-im-ee	-PROG-3PL-1SG-PRES
-iš-ind-imaan-aa	-PROG-3PL-1PL-REM
-iš-ind-imaan-ee	-PROG-3PL-1PL-PRES
-iš-ind-ir-aa	-PROG-3PL-2SG-REM
-iš-ind-ir-ee	-PROG-3PL-2SG-PRES
-iš-ind-iraan-aa	-PROG-3PL-2PL-REM
-iš-ind-iraan-ee	-PROG-3PL-2PL-PRES
-iš-ind-is-aa	-PROG-3PL-3SG-REM
-iš-ind-is-ee	-PROG-3PL-3SG-PRES
-iš-ind-isaan-aa	-PROG-3PL-3PL-REM
-iš-ind-isaan-ee	-PROG-3PL-3PL-PRES
-iš-inn	-COP/PROG-1PL
-iš-inn-aa	-COP/PROG-1PL-REM
-iš-inn-ee	-COP/PROG-1PL-PRES
-š-inn-e	-COP/PROG-1PL-PRES
-iš-ir-im-aa	-PROG-3SG-1SG-REM
-iš-ir-im-ee	-PROG-3SG-1SG-PRES
-iš-ir-imaan-aa	-PROG-3SG-1PL-REM
-iš-ir-imaan-ee	-PROG-3SG-1PL-PRES
-iš-ir-ir-aa	-PROG-3SG-2SG-REM
-iš-ir-ir-ee	-PROG-3SG-2SG-PRES
-iš-ir-iraan-aa	-PROG-3SG-2PL-REM
-iš-ir-iraan-ee	-PROG-3SG-2PL-PRES
-iš-ir-is-aa	-PROG-3SG-3SG-REM
-iš-ir-is-ee	-PROG-3SG-3SG-PRES
-iš-ir-isaan-aa	-PROG-3SG-3PL-REM
-iš-ir-isaan-ee	-PROG-3SG-3PL-PRES
-iš-ir-m-aa	-PROG-3SG-1SG-REM
-iš-ir-m-ee	-PROG-3SG-1SG-PRES
-iš-ir-maan-aa	-PROG-3SG-1PL-REM
-iš-ir-maan-ee	-PROG-3SG-1PL-PRES
-iš-ir-r-aa	-PROG-3SG-2SG-REM
-iš-ir-r-ee	-PROG-3SG-2SG-PRES
-iš-ir-raan-aa	-PROG-3SG-2PL-REM
-iš-ir-raan-ee	-PROG-3SG-2PL-PRES
-iš-ir-s-aa	-PROG-3SG-3SG-REM
-iš-ir-s-ee	-PROG-3SG-3SG-PRES
-iš-ir-saan-aa	-PROG-3SG-3PL-REM
-iš-ir-saan-ee	-PROG-3SG-3PL-PRES
-iš-is-m	-PROG-3SG-1SG
-iš-is-m-aa	-PROG-3SG-1SG-REM
-iš-is-m-ee	-PROG-3SG-1SG-PRES
-iš-is-maan	-PROG-3SG-1PL
-iš-is-maan-aa	-PROG-3SG-1PL-REM
-iš-is-maan-ee	-PROG-3SG-1PL-PRES
-iš-is-r	-PROG-3SG-2SG
-iš-is-r-aa	-PROG-3SG-2SG-REM
-iš-is-r-ee	-PROG-3SG-2SG-PRES
-iš-is-raan	-PROG-3SG-2PL
-iš-is-raan-aa	-PROG-3SG-2PL-REM
-iš-is-raan-ee	-PROG-3SG-2PL-PRES
-iš-is-s	-PROG-3SG-3SG
-iš-is-s-aa	-PROG-3SG-3SG-REM
-iš-is-s-ee	-PROG-3SG-3SG-PRES
-iš-is-saan	-PROG-3SG-3PL
-iš-is-saan-aa	-PROG-3SG-3PL-REM
-iš-is-saan-ee	-PROG-3SG-3PL-PRES
-iš-iss	-COP/PROG-2PL
-iš-iss-aa	-COP/PROG-2PL-REM
-iš-iss-ee	-COP/PROG-2PL-PRES
-iš-m-ir-aa	-PROG-1SG-2SG-REM
-iš-m-ir-ee	-PROG-1SG-2SG-PRES
-iš-m-iraan-aa	-PROG-1SG-2PL-REM
-iš-m-iraan-ee	-PROG-1SG-2PL-PRES
-iš-m-is-aa	-PROG-1SG-3SG-REM
-iš-m-is-ee	-PROG-1SG-3SG-PRES
-iš-m-isaan-aa	-PROG-1SG-3PL-REM
-iš-m-isaan-ee	-PROG-1SG-3PL-PRES
-iš-om	-COP/PROG-1SG
-iš-om-aa	-COP/PROG-1SG-REM
-iš-om-ee	-COP/PROG-1SG-PRES
-iš-om-ir-aa	-PROG-1SG-2SG-REM
-iš-om-ir-ee	-PROG-1SG-2SG-PRES
-iš-om-iraan-aa	-PROG-1SG-2PL-REM
-iš-om-iraan-ee	-PROG-1SG-2PL-PRES
-iš-om-is-aa	-PROG-1SG-3SG-REM
-iš-om-is-ee	-PROG-1SG-3SG-PRES
-iš-om-isaan-aa	-PROG-1SG-3PL-REM
-iš-om-isaan-ee	-PROG-1SG-3PL-PRES
-iš-or	-COP/PROG-2SG
-iš-or-aa	-COP/PROG-2SG-REM
-iš-or-ee	-COP/PROG-2SG-PRES
-iš-or-im	-PROG-2SG-1SG
-iš-or-im-aa	-PROG-2SG-1SG-REM
-iš-or-im-ee	-PROG-2SG-1SG-PRES
-iš-or-imaa	-PROG-2SG-1PL
-iš-or-imaan	-PROG-2SG-1PL
-iš-or-imaan-aa	-PROG-2SG-1PL-REM
-iš-or-imaan-ee	-PROG-2SG-1PL-PRES
-iš-or-is	-PROG-2SG-3SG
-iš-or-is-aa	-PROG-2SG-3SG-REM
-iš-or-is-ee	-PROG-2SG-3SG-PRES
-iš-or-isaa	-PROG-2SG-3PL
-iš-or-isaan	-PROG-2SG-3PL
-iš-or-isaan-aa	-PROG-2SG-3PL-REM
-iš-or-isaan-ee	-PROG-2SG-3PL-PRES
-iš-or-m-aa	-PROG-2SG-1SG-REM
-iš-or-m-ee	-PROG-2SG-1SG-PRES
-iš-or-maan-aa	-PROG-2SG-1PL-REM
-iš-or-maan-ee	-PROG-2SG-1PL-PRES
-iš-or-s-aa	-PROG-2SG-3SG-REM
-iš-or-s-ee	-PROG-2SG-3SG-PRES
-iš-or-saan-aa	-PROG-2SG-3PL-REM
-iš-or-saan-ee	-PROG-2SG-3PL-PRES
-iš-r-im-aa	-PROG-3SG-1SG-REM
-iš-r-im-ee	-PROG-3SG-1SG-PRES
-iš-r-imaan-aa	-PROG-3SG-1PL-REM
-iš-r-imaan-ee	-PROG-3SG-1PL-PRES
-iš-r-ir-aa	-PROG-3SG-2SG-REM
-iš-r-ir-ee	-PROG-3SG-2SG-PRES
-iš-r-iraan-aa	-PROG-3SG-2PL-REM
-iš-r-iraan-ee	-PROG-3SG-2PL-PRES
-iš-r-is-aa	-PROG-3SG-3SG-REM
-iš-r-is-ee	-PROG-3SG-3SG-PRES
-iš-r-isaan-aa	-PROG-3SG-3PL-REM
-iš-r-isaan-ee	-PROG-3SG-3PL-PRES
-očč-ind-im	-SUBJ-3PL-1SG
-očč-ind-ir	-SUBJ-3PL-2SG
-aa-m-ir-ee	-CAUS-1SG-2SG-PRES
-kar-d-een-ee	-VTR-PFV-1PL-PRES
aywa	yes
-o-saan-ee	-2SG-3PL-PRES
-o-saan-aa	-2SG-3PL-REM
-yaav-č-ir	-VITR-SUBJ-3SG
-yaav-č-ir-ee	-VITR-SUBJ-3SG-PRES
-yaav-č-ir-aa	-VITR-SUBJ-3SG-REM
-yaav-išt-ee	-VITR-PROG-PRES
-aa-d-à	-CAUS-PFV-3SG
-aa-d-eend	-CAUS-PFV-3PL
-aa-d-een-is	-CAUS-PFV-3PL-3SG
-aa-d-eend-is	-CAUS-PFV-3PL-3SG
-aa-d-eed-isaa		-CAUS-PFV-3PL-3PL
-aa-d-eend-isaa		-CAUS-PFV-3PL-3PL
-aa-rd-à	-CAUS-PFV-3SG
-aa-rd-eend-imaan	-CAUS-PFV-3PL-1PL
-naaw-osaan-ee	-CAUS-3PL-PRES
-iin-ee	-PL-PRES
-in-saa	-OBL.PL-SOC
miš	NEG
pač-os	behind-3SG
pač-or	behind-2SG
pač-om	behind-1SG
pač-osaa	behind-3PL
pač-oraa	behind-2PL
pač-omaa	behind-1PL
pač-osaan	behind-3PL
pač-oraan	behind-2PL
pač-omaan	behind-1PL
bašar	skin
-št-ir	-PROG-3SG
-yim	-LOC
ayyaam	days
iiyaam	days
yom	day
-aak-ee	-INDEF-PRES
li-	to-
-ind-r-ee	-3PL-2SG-PRES
-kay-ind-r-ee	-VTR-3PL-2SG-PRES
-os-ee	-3SG-PRES
-kar-os-ee	-VTR-3SG-PRES
-kr-or-imaa	-VTR-2SG-1PL
-kr-or-imaan	-VTR-2SG-1PL
-kr-or-im	-VTR-2SG-1SG
-kr-or-is	-VTR-2SG-3SG
-kr-or-isaa	-VTR-2SG-3PL
-kr-or-isaan	-VTR-2SG-3PL
-kr-d-een	-VTR-PFV-1PL
-k-r-eend-ir	-VTR-PFV-3PL-3SG
-s-isaan-aa	-2PL-3PL-REM
-s-saan-aa	-2PL-3PL-REM
-omaan-aa	-1PL-REM
-omaan-ee	-1PL-PRES
-om-ee	-1SG-PRES
-ees-im	-OBL.SG-LOC
-om-s-ee	-1SG-3SG-PRES
zaʕfaraan	saffron
sarbiis	service
-eend-ir	-3PL-2SG
afriiqya	Africa
-aa-m-isaa	-CAUS-1SG-1PL
-aa-nd-imaan-ee	-CAUS-3PL-1PL-PRES
